1000,0.0
2000,0.03125
3000,0.046875
4000,0.0625
5000,0.09375
6000,0.140625
7000,0.203125
8000,0.265625
9000,0.296875
10000,0.453125
11000,0.484375
12000,0.5625
13000,0.65625
14000,0.734375
15000,1.015625
16000,1.0625
17000,1.171875
18000,1.328125
19000,1.453125
20000,1.625
21000,1.75
22000,1.9375
23000,2.734375
24000,2.421875
25000,2.78125
26000,2.796875
27000,3.109375
28000,3.265625
29000,3.5625
30000,4.296875
31000,3.84375
32000,3.984375
33000,4.171875
34000,4.515625
35000,5.78125
36000,5.265625
37000,5.375
38000,5.921875
39000,6.15625
40000,6.546875
41000,7.1875
42000,7.21875
43000,7.265625
44000,7.765625
45000,7.84375
46000,8.03125
47000,9.671875
48000,9.0
49000,10.75
50000,10.65625
51000,18.296875
52000,17.296875
53000,11.75
54000,12.296875
55000,20.109375
