n,tempo
2, 0.0
4, 0.0
8, 0.0
16, 0.0
32, 0.0
64, 0.0
128, 0.0
256, 0.0
512, 0.0
1024, 0.0
2048, 0.015625
4096, 0.09375
8192, 0.390625
16384, 1.125
32768, 3.953125
65536, 61.28125
