n, tempo
2, 0.0
4, 0.0
8, 0.0
16, 0.0
32, 0.0
64, 0.0
128, 0.0
256, 0.0
512, 0.0
1024, 0.0
2048, 0.03125
4096, 0.078125
8192, 0.28125
16384, 1.09375
32768, 4.59375
65536, 59.078125
